iter	Passed	Remaining
0	155	155239
1	161	80520
2	166	55240
3	170	42542
4	176	35190
5	181	30085
6	185	26377
7	190	23587
8	196	21598
9	200	19857
10	204	18428
11	210	17294
12	214	16279
13	218	15411
14	223	14663
15	228	14062
16	233	13491
17	237	12977
18	243	12594
19	248	12191
20	253	11810
21	258	11496
22	263	11174
23	267	10871
24	271	10591
25	277	10395
26	281	10157
27	286	9935
28	291	9765
29	296	9578
30	300	9397
31	305	9244
32	310	9088
33	314	8933
34	318	8787
35	323	8673
36	328	8543
37	332	8421
38	338	8335
39	342	8224
40	346	8115
41	351	8017
42	356	7936
43	360	7842
44	365	7751
45	369	7665
46	374	7596
47	378	7512
48	383	7435
49	387	7367
50	392	7302
51	396	7237
52	402	7194
53	407	7136
54	411	7071
55	416	7013
56	421	6970
57	425	6911
58	429	6856
59	434	6809
60	439	6762
61	443	6711
62	447	6660
63	452	6624
64	457	6577
65	461	6533
66	466	6493
67	471	6464
68	475	6421
69	480	6381
70	485	6358
71	490	6318
72	494	6278
73	498	6240
74	504	6219
75	508	6185
76	513	6150
77	518	6130
78	522	6094
79	527	6065
80	531	6032
81	537	6012
82	541	5981
83	546	5963
84	552	5944
85	556	5918
86	561	5893
87	567	5877
88	571	5853
89	576	5828
90	580	5799
91	585	5783
92	590	5758
93	594	5732
94	600	5717
95	604	5693
96	608	5667
97	613	5642
98	618	5630
99	622	5605
100	627	5583
101	632	5564
102	636	5544
103	640	5520
104	645	5498
105	650	5489
106	655	5467
107	659	5444
108	664	5432
109	668	5412
110	673	5393
111	677	5373
112	683	5368
113	688	5348
114	692	5329
115	697	5318
116	702	5298
117	706	5277
118	710	5256
119	715	5243
120	719	5225
121	723	5206
122	727	5187
123	732	5176
124	737	5162
125	741	5146
126	746	5133
127	750	5116
128	755	5098
129	759	5081
130	764	5072
131	768	5055
132	773	5041
133	778	5029
134	782	5015
135	787	5000
136	791	4986
137	796	4977
138	801	4964
139	806	4951
140	811	4941
141	815	4927
142	819	4912
143	823	4896
144	828	4888
145	833	4873
146	837	4862
147	842	4847
148	847	4838
149	851	4825
150	855	4810
151	860	4801
152	864	4788
153	869	4775
154	873	4762
155	878	4755
156	883	4742
157	887	4728
158	891	4716
159	897	4710
160	901	4698
161	905	4686
162	911	4680
163	915	4667
164	919	4654
165	923	4641
166	929	4634
167	934	4626
168	938	4616
169	943	4604
170	947	4593
171	952	4586
172	957	4576
173	961	4565
174	966	4557
175	970	4545
176	974	4533
177	979	4521
178	984	4514
179	988	4503
180	992	4492
181	997	4483
182	1002	4474
183	1006	4463
184	1010	4452
185	1015	4445
186	1021	4440
187	1026	4432
188	1031	4427
189	1036	4419
190	1041	4410
191	1046	4405
192	1051	4397
193	1056	4390
194	1062	4386
195	1068	4382
196	1073	4374
197	1078	4367
198	1083	4360
199	1088	4353
200	1093	4345
201	1099	4342
202	1103	4334
203	1108	4326
204	1113	4319
205	1118	4309
206	1122	4299
207	1126	4290
208	1131	4283
209	1135	4272
210	1139	4262
211	1145	4257
212	1150	4250
213	1155	4242
214	1160	4237
215	1165	4231
216	1169	4221
217	1174	4211
218	1179	4205
219	1183	4196
220	1188	4188
221	1193	4181
222	1198	4175
223	1202	4165
224	1206	4156
225	1211	4150
226	1215	4140
227	1220	4131
228	1224	4122
229	1229	4116
230	1233	4107
231	1237	4097
232	1242	4091
233	1247	4082
234	1251	4072
235	1255	4064
236	1260	4058
237	1264	4048
238	1268	4039
239	1273	4032
240	1278	4027
241	1283	4018
242	1287	4009
243	1291	4002
244	1296	3996
245	1301	3988
246	1305	3981
247	1311	3976
248	1315	3967
249	1320	3960
250	1324	3953
251	1329	3946
252	1333	3938
253	1338	3930
254	1343	3924
255	1347	3916
256	1352	3908
257	1356	3902
258	1362	3897
259	1366	3888
260	1370	3880
261	1375	3874
262	1379	3867
263	1385	3861
264	1389	3853
265	1393	3845
266	1397	3836
267	1402	3831
268	1407	3823
269	1411	3815
270	1416	3809
271	1420	3802
272	1424	3794
273	1429	3786
274	1434	3781
275	1439	3774
276	1443	3767
277	1447	3759
278	1453	3755
279	1457	3747
280	1461	3739
281	1466	3733
282	1470	3725
283	1474	3717
284	1479	3710
285	1484	3706
286	1488	3698
287	1493	3691
288	1497	3685
289	1502	3679
290	1507	3672
291	1511	3665
292	1516	3659
293	1520	3651
294	1524	3644
295	1528	3636
296	1534	3631
297	1538	3624
298	1542	3616
299	1548	3612
300	1552	3606
301	1557	3599
302	1561	3591
303	1566	3587
304	1571	3580
305	1575	3572
306	1579	3566
307	1584	3559
308	1588	3551
309	1592	3544
310	1597	3538
311	1602	3532
312	1606	3525
313	1610	3518
314	1615	3513
315	1620	3506
316	1624	3499
317	1628	3493
318	1633	3486
319	1637	3479
320	1641	3471
321	1646	3466
322	1650	3460
323	1655	3453
324	1659	3446
325	1664	3441
326	1668	3433
327	1672	3426
328	1677	3420
329	1681	3414
330	1685	3407
331	1690	3400
332	1695	3395
333	1699	3389
334	1703	3382
335	1708	3376
336	1713	3371
337	1717	3364
338	1722	3357
339	1727	3353
340	1731	3346
341	1735	3339
342	1739	3332
343	1744	3327
344	1749	3321
345	1753	3314
346	1757	3307
347	1762	3302
348	1767	3296
349	1770	3288
350	1775	3282
351	1779	3276
352	1784	3269
353	1788	3263
354	1793	3258
355	1797	3251
356	1801	3244
357	1805	3238
358	1811	3234
359	1815	3227
360	1819	3221
361	1824	3214
362	1828	3209
363	1833	3202
364	1837	3196
365	1842	3191
366	1846	3185
367	1851	3179
368	1855	3172
369	1860	3168
370	1864	3161
371	1868	3154
372	1873	3148
373	1877	3143
374	1881	3136
375	1885	3129
376	1890	3124
377	1894	3117
378	1899	3111
379	1903	3105
380	1907	3099
381	1912	3094
382	1916	3087
383	1920	3081
384	1926	3077
385	1930	3070
386	1934	3064
387	1939	3059
388	1944	3053
389	1948	3047
390	1952	3041
391	1957	3036
392	1961	3030
393	1966	3024
394	1970	3018
395	1975	3012
396	1979	3006
397	1983	2999
398	1987	2993
399	1991	2987
400	1995	2981
401	2000	2975
402	2005	2970
403	2009	2964
404	2013	2957
405	2017	2951
406	2022	2946
407	2026	2940
408	2030	2934
409	2034	2928
410	2039	2923
411	2045	2919
412	2050	2913
413	2055	2909
414	2059	2903
415	2063	2897
416	2067	2891
417	2073	2886
418	2077	2880
419	2081	2874
420	2086	2870
421	2091	2864
422	2095	2857
423	2099	2851
424	2104	2846
425	2108	2840
426	2112	2834
427	2116	2828
428	2121	2823
429	2126	2818
430	2130	2812
431	2134	2806
432	2139	2801
433	2143	2795
434	2148	2790
435	2153	2785
436	2157	2779
437	2161	2773
438	2166	2768
439	2171	2763
440	2175	2758
441	2180	2752
442	2185	2747
443	2189	2742
444	2193	2736
445	2198	2730
446	2203	2726
447	2207	2720
448	2211	2714
449	2216	2709
450	2221	2704
451	2226	2699
452	2230	2693
453	2236	2689
454	2240	2683
455	2244	2677
456	2249	2672
457	2253	2666
458	2257	2661
459	2261	2655
460	2266	2650
461	2270	2644
462	2275	2638
463	2279	2632
464	2284	2628
465	2288	2622
466	2292	2616
467	2296	2610
468	2302	2606
469	2306	2600
470	2310	2594
471	2315	2590
472	2319	2584
473	2323	2578
474	2327	2573
475	2332	2568
476	2337	2562
477	2341	2557
478	2345	2551
479	2351	2546
480	2355	2541
481	2359	2535
482	2364	2531
483	2369	2525
484	2373	2520
485	2377	2514
486	2382	2509
487	2386	2504
488	2390	2498
489	2395	2493
490	2400	2488
491	2404	2482
492	2408	2476
493	2413	2472
494	2417	2466
495	2422	2461
496	2426	2455
497	2431	2451
498	2436	2445
499	2440	2440
500	2444	2434
501	2449	2429
502	2453	2424
503	2457	2418
504	2462	2413
505	2466	2408
506	2470	2402
507	2475	2397
508	2480	2392
509	2484	2386
510	2488	2381
511	2492	2375
512	2497	2371
513	2502	2365
514	2506	2360
515	2511	2355
516	2515	2350
517	2519	2344
518	2523	2339
519	2528	2334
520	2533	2328
521	2537	2323
522	2541	2318
523	2546	2313
524	2551	2308
525	2555	2302
526	2560	2297
527	2564	2292
528	2568	2286
529	2572	2281
530	2577	2276
531	2581	2271
532	2585	2265
533	2589	2260
534	2595	2255
535	2599	2249
536	2603	2244
537	2607	2238
538	2612	2234
539	2616	2228
540	2620	2223
541	2625	2218
542	2629	2213
543	2633	2207
544	2638	2202
545	2644	2198
546	2648	2193
547	2652	2187
548	2656	2182
549	2661	2177
550	2665	2172
551	2669	2166
552	2674	2161
553	2678	2156
554	2682	2151
555	2686	2145
556	2692	2141
557	2696	2135
558	2700	2130
559	2704	2124
560	2709	2120
561	2713	2115
562	2717	2109
563	2722	2104
564	2727	2099
565	2731	2094
566	2735	2089
567	2741	2084
568	2745	2079
569	2749	2074
570	2753	2068
571	2759	2064
572	2763	2059
573	2768	2054
574	2772	2049
575	2777	2044
576	2781	2039
577	2785	2033
578	2790	2029
579	2795	2024
580	2799	2018
581	2803	2013
582	2808	2008
583	2812	2003
584	2816	1998
585	2821	1993
586	2826	1988
587	2830	1983
588	2834	1977
589	2839	1973
590	2843	1967
591	2847	1962
592	2852	1957
593	2857	1953
594	2861	1948
595	2866	1942
596	2871	1938
597	2875	1933
598	2879	1927
599	2883	1922
600	2888	1917
601	2892	1912
602	2897	1907
603	2901	1902
604	2906	1897
605	2910	1892
606	2914	1887
607	2919	1882
608	2924	1877
609	2928	1872
610	2933	1867
611	2938	1863
612	2942	1857
613	2947	1852
614	2952	1848
615	2956	1843
616	2960	1837
617	2964	1832
618	2970	1828
619	2975	1823
620	2980	1818
621	2985	1814
622	2989	1809
623	2994	1804
624	2998	1799
625	3004	1794
626	3009	1790
627	3013	1785
628	3018	1780
629	3022	1775
630	3026	1770
631	3031	1765
632	3036	1760
633	3040	1755
634	3045	1750
635	3049	1745
636	3054	1740
637	3058	1735
638	3062	1730
639	3067	1725
640	3072	1720
641	3076	1715
642	3080	1710
643	3085	1705
644	3090	1700
645	3094	1695
646	3098	1690
647	3103	1685
648	3107	1680
649	3111	1675
650	3116	1670
651	3120	1665
652	3125	1660
653	3129	1655
654	3135	1651
655	3139	1646
656	3143	1641
657	3148	1636
658	3152	1631
659	3156	1626
660	3161	1621
661	3166	1616
662	3170	1611
663	3175	1606
664	3180	1602
665	3184	1597
666	3188	1592
667	3193	1586
668	3198	1582
669	3202	1577
670	3206	1572
671	3210	1567
672	3215	1562
673	3219	1557
674	3223	1552
675	3228	1547
676	3233	1542
677	3237	1537
678	3241	1532
679	3247	1528
680	3251	1522
681	3255	1517
682	3259	1512
683	3265	1508
684	3269	1503
685	3273	1498
686	3278	1493
687	3283	1488
688	3287	1483
689	3291	1478
690	3296	1474
691	3301	1469
692	3305	1464
693	3309	1459
694	3314	1454
695	3318	1449
696	3322	1444
697	3328	1439
698	3333	1435
699	3337	1430
700	3341	1425
701	3347	1420
702	3351	1415
703	3355	1410
704	3360	1406
705	3365	1401
706	3369	1396
707	3373	1391
708	3378	1386
709	3383	1381
710	3387	1376
711	3391	1372
712	3396	1367
713	3400	1362
714	3405	1357
715	3410	1352
716	3414	1347
717	3418	1342
718	3423	1337
719	3428	1333
720	3433	1328
721	3437	1323
722	3442	1318
723	3446	1313
724	3450	1308
725	3454	1303
726	3460	1299
727	3464	1294
728	3468	1289
729	3472	1284
730	3478	1279
731	3482	1274
732	3486	1269
733	3491	1265
734	3496	1260
735	3500	1255
736	3504	1250
737	3510	1246
738	3514	1241
739	3519	1236
740	3525	1232
741	3530	1227
742	3534	1222
743	3540	1218
744	3545	1213
745	3549	1208
746	3553	1203
747	3559	1199
748	3564	1194
749	3568	1189
750	3573	1184
751	3578	1180
752	3582	1175
753	3586	1170
754	3592	1165
755	3596	1160
756	3601	1155
757	3605	1151
758	3610	1146
759	3614	1141
760	3618	1136
761	3624	1132
762	3628	1127
763	3633	1122
764	3638	1117
765	3642	1112
766	3647	1107
767	3651	1102
768	3656	1098
769	3660	1093
770	3664	1088
771	3668	1083
772	3674	1078
773	3678	1073
774	3682	1069
775	3686	1064
776	3691	1059
777	3696	1054
778	3700	1049
779	3705	1045
780	3709	1040
781	3713	1035
782	3718	1030
783	3723	1025
784	3728	1021
785	3732	1016
786	3737	1011
787	3741	1006
788	3745	1001
789	3749	996
790	3755	992
791	3759	987
792	3763	982
793	3767	977
794	3772	972
795	3776	967
796	3780	962
797	3785	958
798	3790	953
799	3794	948
800	3798	943
801	3803	939
802	3807	934
803	3811	929
804	3815	924
805	3821	919
806	3825	914
807	3829	910
808	3834	905
809	3839	900
810	3843	895
811	3847	890
812	3852	886
813	3856	881
814	3860	876
815	3864	871
816	3870	866
817	3874	861
818	3878	857
819	3882	852
820	3887	847
821	3891	842
822	3895	837
823	3900	833
824	3905	828
825	3909	823
826	3914	818
827	3919	814
828	3924	809
829	3928	804
830	3934	800
831	3939	795
832	3943	790
833	3948	785
834	3953	781
835	3958	776
836	3962	771
837	3967	767
838	3972	762
839	3976	757
840	3981	752
841	3986	748
842	3990	743
843	3995	738
844	4001	733
845	4005	729
846	4009	724
847	4015	719
848	4020	715
849	4024	710
850	4030	705
851	4034	700
852	4039	696
853	4043	691
854	4048	686
855	4053	681
856	4057	677
857	4061	672
858	4066	667
859	4071	662
860	4075	657
861	4079	653
862	4083	648
863	4088	643
864	4093	638
865	4097	633
866	4102	629
867	4107	624
868	4112	619
869	4116	615
870	4121	610
871	4125	605
872	4130	600
873	4135	596
874	4139	591
875	4143	586
876	4148	581
877	4153	577
878	4157	572
879	4161	567
880	4165	562
881	4170	558
882	4175	553
883	4179	548
884	4184	543
885	4189	538
886	4193	534
887	4197	529
888	4202	524
889	4206	519
890	4210	515
891	4214	510
892	4220	505
893	4224	500
894	4228	496
895	4233	491
896	4238	486
897	4242	481
898	4246	477
899	4251	472
900	4256	467
901	4260	462
902	4265	458
903	4270	453
904	4274	448
905	4278	443
906	4283	439
907	4288	434
908	4292	429
909	4296	424
910	4302	420
911	4306	415
912	4311	410
913	4316	406
914	4321	401
915	4325	396
916	4330	391
917	4335	387
918	4339	382
919	4343	377
920	4349	373
921	4353	368
922	4357	363
923	4361	358
924	4367	354
925	4371	349
926	4376	344
927	4380	339
928	4385	335
929	4389	330
930	4393	325
931	4399	320
932	4403	316
933	4408	311
934	4412	306
935	4417	302
936	4421	297
937	4425	292
938	4430	287
939	4435	283
940	4439	278
941	4443	273
942	4449	268
943	4453	264
944	4457	259
945	4463	254
946	4467	250
947	4471	245
948	4475	240
949	4480	235
950	4484	231
951	4489	226
952	4494	221
953	4499	216
954	4503	212
955	4507	207
956	4513	202
957	4517	198
958	4521	193
959	4526	188
960	4531	183
961	4535	179
962	4539	174
963	4545	169
964	4549	165
965	4553	160
966	4557	155
967	4562	150
968	4566	146
969	4571	141
970	4575	136
971	4580	131
972	4584	127
973	4589	122
974	4594	117
975	4598	113
976	4602	108
977	4606	103
978	4612	98
979	4616	94
980	4620	89
981	4626	84
982	4630	80
983	4634	75
984	4638	70
985	4643	65
986	4648	61
987	4652	56
988	4656	51
989	4661	47
990	4666	42
991	4670	37
992	4675	32
993	4680	28
994	4684	23
995	4688	18
996	4694	14
997	4699	9
998	4703	4
999	4708	0
